"title","abstract","date","source","origin_of_life","synthetic_biology","dominant_theme"
"The high-energy radiation environment of the habitable-zone super-Earth LHS 1140b","Abstract:                _but the X-ray/UV activity of cool stars is very different from that of our Sun. The high-energy radiation environment influences the habitability, plays a crucial role for abiogenesis, and impacts planetary atmospheres. LHS 1140b is a super-Earth-size planet orbiting in the HZ of LHS 1140, an M4.5 dwarf at ~15 parsecs. We present the results of a Swift X-ra_         _ More           In the last few years many exoplanets in the habitable zone (HZ) of M-dwarfs have been discovered, but the X-ray/UV activity of cool stars is very different from that of our Sun. The high-energy radiation environment influences the habitability, plays a crucial role for abiogenesis, and impacts planetary atmospheres. LHS 1140b is a super-Earth-size planet orbiting in the HZ of LHS 1140, an M4.5 dwarf at ~15 parsecs. We present the results of a Swift X-ray/UV observing campaign. We characterize for the first time the X-ray/UV radiation environment of LHS 1140b. We measure the variability of the near ultraviolet (NUV) flux and estimate the far ultraviolet (FUV) flux with a correlation between FUV and NUV flux of a sample of low-mass stars in the GALEX archive. We highlight the presence of a dominating X-ray source close to the J2000 coordinates of LHS 1140, characterize its spectrum, and derive an X-ray flux upper limit for LHS 1140. We find that this contaminant source could have influenced the previously estimated spectral energy distribution. No significant variation of the NUV flux of LHS 1140 is found over 3 months, and we do not observe any flare during the 38 ks on the target. LHS 1140 is in the 25th percentile of least variable M4-M5 dwarfs of the GALEX sample. Analyzing the UV flux experienced by the HZ planet LHS 1140b, we find that outside the atmosphere it receives a NUV flux <2% with respect to that of the present-day Earth, while the FUV/NUV ratio is ~100-200 times higher. This represents a lower limit to the true FUV/NUV ratio since the GALEX FUV band does not include Lyman-alpha, which dominates the FUV output of low-mass stars. This is a warning for future searches for biomarkers, which must take into account this high ratio. The relatively low level and stability of UV flux experienced by LHS 1140b should be favorable for its present-day habitability.         _ Less","","arXiv","1","0","origin_of_life"
"A Prerequisite for Life","Abstract:                _unstable in the cytosol. (3) And living organism are mortal. These three common features together give a prerequisite for the prebiotic self-assembly at the start of the Abiogenesis. Here we argue , that it all together indicates, that the prebiotic self-assembly of structures and reactions took place in a more saline environment, whereby the homochirality o_         _ More           The complex physicochemical structures and chemical reactions in living organism have some common features: (1) The life processes take place in the cytosol in the cells, which, from a physicochemical point of view is an emulsion of biomolecules in a dilute aqueous suspension. (2) All living systems are homochiral with respect to the units of amino acids and carbohydrates, but (some) proteins are chiral unstable in the cytosol. (3) And living organism are mortal. These three common features together give a prerequisite for the prebiotic self-assembly at the start of the Abiogenesis. Here we argue , that it all together indicates, that the prebiotic self-assembly of structures and reactions took place in a more saline environment, whereby the homochirality of proteins not only could be obtained, but also preserved. A more saline environment for the prebiotic self-assembly of organic molecules and establishment of biochemical reactions could have been the hydrothermal vents.         _ Less","","arXiv","2","1","origin_of_life"
"The Origin of RNA Precursors on Exoplanets","Abstract:                _. By balancing the rates for the light and dark chemistry, we delineate the 'abiogenesis zones' around stars of different stellar types based on whether their UV fluxes are sufficient for building up this macromolecular prebiotic inventory. We find that the SO$_3^{2-}$ 'light chemistry' is rapid enough to build up the prebiotic inventory for_         _ More           Given that the macromolecular building blocks of life were likely produced photochemically in the presence of ultraviolet (UV) light, we identify some general constraints on which stars produce sufficient UV for this photochemistry. We estimate how much light is needed for the UV photochemistry by experimentally measuring the rate constant for the UV chemistry (`light chemistry', needed for prebiotic synthesis) versus the rate constants for the bimolecular reactions that happen in the absence of the UV light (`dark chemistry'). We make these measurements for representative photochemical reactions involving SO$_3^{2-}$ and HS$^-$. By balancing the rates for the light and dark chemistry, we delineate the 'abiogenesis zones' around stars of different stellar types based on whether their UV fluxes are sufficient for building up this macromolecular prebiotic inventory. We find that the SO$_3^{2-}$ 'light chemistry' is rapid enough to build up the prebiotic inventory for stars hotter than K5 (4400 K). We show how the abiogenesis zone overlaps with the liquid water habitable zone. Stars cooler than K5 may also drive the formation of these building blocks if they are very active. The HS$^-$ 'light chemistry' is too slow to work even for the Early Earth.         _ Less","","arXiv","3","0","origin_of_life"
"Molecular Imprinting: The missing piece in the puzzle of abiogenesis?","Abstract:                _Nobel Laureate Paul Lauterbur proposed that molecular imprinting in amorphous materials -- a phenomenon with an extensive experimental literature -- played a key role in abiogenesis. The present paper builds on Lauterbur's idea to propose imprint-mediated templating (IMT), a mechanism for prebiotic peptide replication that could potentially avoid a rang_         _ More           In a neglected 2005 paper, Nobel Laureate Paul Lauterbur proposed that molecular imprinting in amorphous materials -- a phenomenon with an extensive experimental literature -- played a key role in abiogenesis. The present paper builds on Lauterbur's idea to propose imprint-mediated templating (IMT), a mechanism for prebiotic peptide replication that could potentially avoid a range of difficulties arising in classic gene-first and metabolism-first models of abiogenesis. Unlike models that propose prebiotic RNA synthesis, activation, and polymerization based on unknown chemistries, peptide/IMT models are compatible with demonstrably realistic prebiotic chemistries: synthesis of dilute mixtures of racemic amino acids from atmospheric gases, and polymerization of unactivated amino acids on hot, intermittently-wetted surfaces. Starting from a peptide/IMT-based genetics, plausible processes could support the elaboration of genetic and metabolic complexity in an early-Earth environment, both explaining the emergence of homochirality and providing a potential bridge to nucleic acid metabolism. Peptide/IMT models suggest directions for both theoretical and experimental inquiry.         _ Less","","arXiv","4","1","origin_of_life"
"On the Rate of Abiogenesis from a Bayesian Informatics Perspective","Abstract:                Life appears to have emerged relatively quickly on the Earth, a fact sometimes used to justify a high rate of spontaneous abiogenesis ($_$) among Earth-like worlds. Conditioned upon a single datum - the time of earliest evidence for life ($t_{\\mathrm{obs}}$) - previous Bayesian formalisms for the posterior distribution of $_$ have demonstrated how inferences_         _ More           Life appears to have emerged relatively quickly on the Earth, a fact sometimes used to justify a high rate of spontaneous abiogenesis ($_$) among Earth-like worlds. Conditioned upon a single datum - the time of earliest evidence for life ($t_{\\mathrm{obs}}$) - previous Bayesian formalisms for the posterior distribution of $_$ have demonstrated how inferences are highly sensitive to the priors. Rather than attempt to infer the true $_$ posterior, we here compute the relative change to $_$ when new experimental/observational evidence is introduced. By simulating posterior distributions and resulting entropic information gains, we compare three experimental pressures on $_$: 1) evidence for an earlier start to life; $t_{\\mathrm{obs}}$; 2) constraints on spontaneous abiogenesis from the lab; and 3) an exoplanet survey for biosignatures. First, we find that experiments 1 and 2 can only yield lower limits on $_$, unlike 3. Second, evidence for an earlier start to life can yield negligible information on $_$ if $t_{\\mathrm{obs}} \\ll __{\\mathrm{max}}^{-1}$. Vice versa, experiment 2 is uninformative when $__{\\mathrm{max}} \\gg t_{\\mathrm{obs}}^{-1}$. Whilst experiment 3 appears the most direct means of measuring $_$, we highlight that early starts inform us of the conditions of abiogenesis, and that lab experiments could succeed in building new life. Together then, the three experiments are complimentary and we encourage activity in all to solve this grand challenge.         _ Less","","arXiv","2","0","origin_of_life"
"The start of the Abiogenesis: Preservation of homochirality in proteins as a necessary and sufficient condition for the establishment of the metabolism","Abstract:                _their life. There are, however, some common structures and reactions in the systems: the homochirality of carbohydrates and proteins, the metabolism and the genetics. The Abiogenesis, or the origin of life, is probably not a result of a series of single events, but rather the result of a gradual process with increasing complexity of molecules and chemical re_         _ More           Biosystems contain an almost infinite amount of vital important details, which together ensure their life. There are, however, some common structures and reactions in the systems: the homochirality of carbohydrates and proteins, the metabolism and the genetics. The Abiogenesis, or the origin of life, is probably not a result of a series of single events, but rather the result of a gradual process with increasing complexity of molecules and chemical reactions, and the prebiotic synthesis of molecules might not have left a trace of the establishment of structures and reactions at the beginning of the evolution. But alternatively, one might be able to determine some order in the formation of the chemical denominators in the Abiogenesis. Here we review experimental results and present a model of the start of the Abionenesis, where the spontaneous formation of homochirality in proteins is the precondition for the establishment of homochirality of carbohydrates and for the metabolism at the start of the Abiogenesis.         _ Less","","arXiv","4","2","origin_of_life"
"Sulfidic Anion Concentrations on Early Earth for Surficial Origins-of-Life Chemistry","Abstract:                A key challenge in origin-of-life studies is understanding the environmental conditions on early Earth under which abiogenesis occurred. While some constraints do exist (e.g., zircon evidence for surface liquid water), relatively few constraints exist on the abundances of trace chemical species, which are relevant to assessing the plausibility and guiding th_         _ More           A key challenge in origin-of-life studies is understanding the environmental conditions on early Earth under which abiogenesis occurred. While some constraints do exist (e.g., zircon evidence for surface liquid water), relatively few constraints exist on the abundances of trace chemical species, which are relevant to assessing the plausibility and guiding the development of postulated prebiotic chemical pathways which depend on these species. In this work, we combine literature photochemistry models with simple equilibrium chemistry calculations to place constraints on the plausible range of concentrations of sulfidic anions (HS$^-$, HSO$_3^{-}$, SO$_3^{2-}$) available in surficial aquatic reservoirs on early Earth due to outgassing of SO$_2$ and H$_2$S and their dissolution into small shallow surface water reservoirs like lakes. We find that this mechanism could have supplied prebiotically relevant levels of SO$_2$-derived anions, but not H$_2$S-derived anions. Radiative transfer modelling suggests UV light would have remained abundant on the planet surface for all but the largest volcanic explosions. We apply our results to the case study of the proposed prebiotic reaction network of Patel et al. (2015), and discuss the implications for improving its prebiotic plausibility. In general, epochs of moderately high volcanism could have been especially conducive to cyanosulfidic prebiotic chemistry. Our work can be similarly applied to assess and improve the prebiotic plausibility of other postulated surficial prebiotic chemistries that are sensitive to sulfidic anions, and our methods adapted to study other atmospherically-derived trace species.         _ Less","","arXiv","2","1","origin_of_life"
"Percolation clusters of organics in interstellar ice grains as the incubators of life","Abstract:                _formed. The interior regions of such superclusters provided for chemical micro-environments that are filtered versions of the outside environment. I argue that models for abiogenesis are more likely to work when considered inside such micro-environments. As the supercluster breaks up, biochemical systems in such micro-environments gradually become subject to_         _ More           Biomolecules can be synthesized in interstellar ice grains subject to UV radiation and cosmic rays. I show that on time scales of $\\gtrsim 10^{6}$ years, these processes lead to the formation of large percolation clusters of organic molecules. Some of these clusters would have ended up on proto-planets where large, loosely bound aggregates of clusters (superclusters) would have formed. The interior regions of such superclusters provided for chemical micro-environments that are filtered versions of the outside environment. I argue that models for abiogenesis are more likely to work when considered inside such micro-environments. As the supercluster breaks up, biochemical systems in such micro-environments gradually become subject to a less filtered environment, allowing them to get adapted to the more complex outside environment. A particular system originating from a particular location on some supercluster would have been the first to get adapted to the raw outside environment and survive there, thereby becoming the first microbe. A collision of a microbe-containing proto-planet with the Moon could have led to fragments veering off back into space, microbes in small fragments would have been able to survive a subsequent impact with the Earth.         _ Less","","arXiv","2","0","origin_of_life"
"Implications of tides for life on exoplanets","Abstract:                _could be more prominent due to stronger tidal forces. We identify the conditions under which tides may exert a significant positive influence on biotic processes including abiogenesis, biological rhythms, nutrient upwelling and stimulating photosynthesis. We conclude our analysis with the identification of large-scale algal blooms as potential temporal biosi_         _ More           As evident from the nearby examples of Proxima Centauri and TRAPPIST-1, Earth-sized planets in the habitable zone of low-mass stars are common. Here, we focus on such planetary systems and argue that their (oceanic) tides could be more prominent due to stronger tidal forces. We identify the conditions under which tides may exert a significant positive influence on biotic processes including abiogenesis, biological rhythms, nutrient upwelling and stimulating photosynthesis. We conclude our analysis with the identification of large-scale algal blooms as potential temporal biosignatures in reflectance light curves that can arise indirectly as a consequence of strong tidal forces.         _ Less","","arXiv","1","0","origin_of_life"
"Atmospheric escape from the TRAPPIST-1 planets and implications for habitability","Abstract:                _the TRAPPIST-1 system are capable of retaining their atmospheres over billion-year timescales. The consequences arising from our results are also explored in the context of abiogenesis, biodiversity, and searches for future exoplanets. In light of the many unknowns and assumptions involved, we recommend that these conclusions must be interpreted with due cau_         _ More           The presence of an atmosphere over sufficiently long timescales is widely perceived as one of the most prominent criteria associated with planetary surface habitability. We address the crucial question as to whether the seven Earth-sized planets transiting the recently discovered ultracool dwarf star TRAPPIST-1 are capable of retaining their atmospheres. To this effect, we carry out numerical simulations to characterize the stellar wind of TRAPPIST-1 and the atmospheric ion escape rates for all the seven planets. We also estimate the escape rates analytically and demonstrate that they are in good agreement with the numerical results. We conclude that the outer planets of the TRAPPIST-1 system are capable of retaining their atmospheres over billion-year timescales. The consequences arising from our results are also explored in the context of abiogenesis, biodiversity, and searches for future exoplanets. In light of the many unknowns and assumptions involved, we recommend that these conclusions must be interpreted with due caution.         _ Less","","arXiv","1","0","origin_of_life"
"The Surface UV Environment on Planets Orbiting M-Dwarfs: Implications for Prebiotic Chemistry & Need for Experimental Follow-Up","Abstract:                _planets have access to 100-1000 times less bioactive UV fluence than the young Earth. It is unclear whether UV-sensitive prebiotic chemistry that may have been important to abiogenesis, such as the only known prebiotically plausible pathways for pyrimidine ribonucleotide synthesis, could function on M-dwarf planets. This uncertainty affects objects like the_         _ More           Potentially-habitable planets orbiting M-dwarfs are of intense astrobiological interest because they are the only rocky worlds accessible to biosignature search over the next 10+ years due to a confluence of observational effects. Simultaneously, recent experimental and theoretical work suggests that UV light may have played a key role in the origin of life on Earth, and especially the origin of RNA. Characterizing the UV environment on M-dwarfs planets is important to understanding whether life as we know it could emerge on such worlds. In this work, we couple radiative transfer models to observed M-dwarf spectra to determine the UV environment on prebiotic Earth-analog planets orbiting M-dwarfs. We calculate dose rates to quantify the impact of different host stars on prebiotically-important photoprocesses. We find that M-dwarf planets have access to 100-1000 times less bioactive UV fluence than the young Earth. It is unclear whether UV-sensitive prebiotic chemistry that may have been important to abiogenesis, such as the only known prebiotically plausible pathways for pyrimidine ribonucleotide synthesis, could function on M-dwarf planets. This uncertainty affects objects like the recently-discovered habitable-zone planets orbiting Proxima Centauri, TRAPPIST-1, and LHS 1140. Laboratory studies of the sensitivity of putative prebiotic pathways to irradiation level are required to resolve this uncertainty. If steady-state M-dwarf UV output is insufficient to power these pathways, transient elevated UV irradiation due to flares may suffice; laboratory studies can constrain this possibility as well.         _ Less","","arXiv","3","0","origin_of_life"
"Enhanced interplanetary panspermia in the TRAPPIST-1 system","Abstract:                _is potentially orders of magnitude more likely to occur in the TRAPPIST-1 system compared to the Earth-to-Mars case. As a consequence, we argue that the probability of abiogenesis is enhanced on the TRAPPIST-1 planets compared to the Solar system. By adopting models from theoretical ecology, we show that the number of species transferred and the number of li_         _ More           We present a simple model for estimating the probability of interplanetary panspermia in the recently discovered system of seven planets orbiting the ultracool dwarf star TRAPPIST-1, and find that panspermia is potentially orders of magnitude more likely to occur in the TRAPPIST-1 system compared to the Earth-to-Mars case. As a consequence, we argue that the probability of abiogenesis is enhanced on the TRAPPIST-1 planets compared to the Solar system. By adopting models from theoretical ecology, we show that the number of species transferred and the number of life-bearing planets is also likely to be higher, because of the increased rates of immigration. We propose observational metrics for evaluating whether life was initiated by panspermia on multiple planets in the TRAPPIST-1 system. These results are also applicable to habitable exoplanets and exomoons in other planetary systems.         _ Less","","arXiv","1","0","origin_of_life"
"Habitability properties of circumbinary planets","Abstract:                _concentrated on particular classes of CBP-MS, and life on Earth is an outlier, in this sense. In this scenario, Lathe's mechanism for the tidal 'chain reaction' abiogenesis on Earth is favored as generic for CBP-MS, due to photo-tidal synchronization inherent to them. Problems with this scenario are discussed in detail.         _ More           It is shown that several habitability conditions (in fact, at least seven such conditions) appear to be fulfilled automatically by circumbinary planets of main-sequence stars (CBP-MS), whereas on Earth these conditions are fulfilled only by chance. Therefore, it looks natural that most of the production of replicating biopolymers in the Galaxy is concentrated on particular classes of CBP-MS, and life on Earth is an outlier, in this sense. In this scenario, Lathe's mechanism for the tidal 'chain reaction' abiogenesis on Earth is favored as generic for CBP-MS, due to photo-tidal synchronization inherent to them. Problems with this scenario are discussed in detail.         _ Less","","arXiv","1","0","origin_of_life"
"Atmospheric Constraints on the Surface UV Environment of Mars at 3.9 Ga Relevant to Prebiotic Chemistry","Abstract:                _meaning that their presence affects prebiotic pathways in different ways. In particular, high SO2 environments may admit UV fluence that favors pathways conducive to abiogenesis over pathways unfavorable to it. However, better measurements of the spectral quantum yields of these pathways are required to evaluate this hypothesis definitively.         _ More           Recent findings suggest Mars may have been a clement environment for the emergence of life, and may even have compared favorably to Earth in this regard. These findings have revived interest in the hypothesis that prebiotically important molecules or even nascent life may have formed on Mars and been transferred to Earth. UV light plays a key role in prebiotic chemistry. Characterizing the early Martian surface UV environment is key to understanding how Mars compares to Earth as a venue for prebiotic chemistry.   Here, we present two-stream multi-layer calculations of the UV surface radiance on Mars at 3.9 Ga, to constrain the surface UV environment as a function of atmospheric state. We explore a wide range of atmospheric pressures, temperatures and compositions, corresponding to the diversity of Martian atmospheric states consistent with available constraints. We include the effects of clouds and dust. We calculate dose rates to quantify the effect of different atmospheric states on UV-sensitive prebiotic chemistry.   We find that for normative clear-sky CO2-H2O atmospheres, the UV environment on young Mars is comparable to young Earth. This similarity is robust to moderate cloud cover: thick clouds ($_$>100) are required to significantly affect the Martian UV environment, because cloud absorption is degenerate with atmospheric CO2. On the other hand, absorption from SO2, H2S, and dust is nondegenerate with CO2, meaning if they can build up to high levels, surface UV fluence will be suppressed. These absorbers have spectrally variable absorption, meaning that their presence affects prebiotic pathways in different ways. In particular, high SO2 environments may admit UV fluence that favors pathways conducive to abiogenesis over pathways unfavorable to it. However, better measurements of the spectral quantum yields of these pathways are required to evaluate this hypothesis definitively.         _ Less","","arXiv","3","0","origin_of_life"
"Galactic Distribution of Chirality Sources of Organic Molecules","Abstract:                Conceptualizing planetary habitability depends on understanding how living organisms originated and what features of environments are essential to foster abiogenesis. Estimates of the abundance of life's building blocks are confounded by incomplete knowledge of the role of chirality and racemization in organic compounds in the origination of living organ_         _ More           Conceptualizing planetary habitability depends on understanding how living organisms originated and what features of environments are essential to foster abiogenesis. Estimates of the abundance of life's building blocks are confounded by incomplete knowledge of the role of chirality and racemization in organic compounds in the origination of living organisms. Chirality is an essential feature of enzymes as well as many lock-and-key type structures. There are four known processes that can act on complex organic molecules to promote racemization for abiogenesis: quantum-tunneling effects; selection via interaction with circularly polarized light (CPL); templating processes; and interactions with electrical and magnetic (EM) fields. These occur in different places, respectively: cold interstellar space; regions of space with energetic photons, dust and/or magnetic fields; and mineral surfaces (for both templating and EM fields). Chirality as a feature of terrestrial life suggests neither a special place for local development of homochirality nor for extra-terrestrial enrichment and delivery. The presence of these molecules in three competing scenarios for life's origin - chemical gardens, geothermal fields, and ice substrates - relies on a framework of hypothesis and estimation. An easily-modified worksheet is included in the supplemental material that allows a user to generate different scenarios and data related to the distribution of chiral organic molecules as building blocks for living organisms within the galaxy. A simple hypothetical mechanism for planetary magnetic field reversals, based on a high-density plasma inner core, is also presented as a means to aid in estimating field polarity and hence the orientation of racemization processes based on planetary magnetic fields.         _ Less","","arXiv","1","1","multiple"
"Constraints on the Early Terrestrial Surface UV Environment Relevant to Prebiotic Chemistry","Abstract:                The UV environment is a key boundary condition for the origin of life. However, considerable uncertainty exists as to planetary conditions and hence surface UV at abiogenesis. Here, we present two-stream multi-layer clear-sky calculations of the UV surface radiance on Earth at 3.9 Ga to constrain the UV surface fluence as a function of albedo, solar zenith a_         _ More           The UV environment is a key boundary condition for the origin of life. However, considerable uncertainty exists as to planetary conditions and hence surface UV at abiogenesis. Here, we present two-stream multi-layer clear-sky calculations of the UV surface radiance on Earth at 3.9 Ga to constrain the UV surface fluence as a function of albedo, solar zenith angle (SZA), and atmospheric composition. Variation in albedo and latitude (through SZA) can affect maximum photoreaction rates by a factor of >10.4; for the same atmosphere, photoreactions can proceed an order of magnitude faster at the equator of a snowball Earth than at the poles of a warmer world. Surface conditions are important considerations when computing prebiotic UV fluences. For climatically reasonable levels of CO2, fluence shortward of 189 nm is screened out, meaning that prebiotic chemistry is robustly shielded from variations in UV fluence due to solar flares or variability. Strong shielding from CO2 also means that the UV surface fluence is insensitive to plausible levels of CH4, O2, and O3. At scattering wavelengths, UV fluence drops off comparatively slowly with increasing CO2 levels. However, if SO2 and/or H2S can build up to the 1-100 ppm level as hypothesized by some workers, then they can dramatically suppress surface fluence and hence prebiotic photoprocesses. H2O is a robust UV shield for <198 nm. This means that regardless of the levels of other atmospheric gases, fluence <198 nm is only available for cold, dry atmospheres, meaning sources with emission <198 nm (e.g. ArF eximer lasers) can only be used in simulations of cold environments with low abundance of volcanogenic gases. On the other hand, fluence at 254 nm is unshielded by H2O and is available across a broad range of CO2 columns, meaning that mercury lamps are suitable for initial studies regardless of the uncertainty in primordial H2O and CO2 levels.         _ Less","","arXiv","3","0","origin_of_life"
"Early onset of structural inequality in the formation of collaborative knowledge, Wikipedia","Abstract:                _In particular, the rapid increase in the Gini coefficient suggests that this entrenched inequality stems from the nature of such open-editing communal data sets, namely the abiogenesis of the supereditors' oligopoly. We show that these supereditor groups were created at the early stages of these open-editing media and are still active. Furthermore, our_         _ More           We perform an in-depth analysis on the inequality in 863 Wikimedia projects. We take the complete editing history of 267,304,095 Wikimedia items until 2016, which not only covers every language edition of Wikipedia, but also embraces the complete versions of Wiktionary, Wikisource, Wikivoyage, etc. Our findings of common growth pattern described by the interrelations between four characteristic growth yardsticks suggest a universal law of communal data formation. In this encyclopaedic data set, we observe the interplay between the number of edits and the degree of inequality. In particular, the rapid increase in the Gini coefficient suggests that this entrenched inequality stems from the nature of such open-editing communal data sets, namely the abiogenesis of the supereditors' oligopoly. We show that these supereditor groups were created at the early stages of these open-editing media and are still active. Furthermore, our model considers both short-term and long-term memories to successfully elucidate the underlying mechanism of the establishment of oligarchy in Wikipedia. Our results anticipate a noticeable prospect of such communal databases in the future: the disparity will not be resolved spontaneously.         _ Less","","arXiv","2","1","origin_of_life"
"Influence of the UV Environment on the Synthesis of Prebiotic Molecules","Abstract:                Ultraviolet (UV) radiation is common to most planetary environments, and could play a key role in the chemistry of molecules relevant to abiogenesis (prebiotic chemistry). In this work, we explore the impact of UV light on prebiotic chemistry that might occur in liquid water on the surface of a planet with an atmosphere. We consider effects including atmosph_         _ More           Ultraviolet (UV) radiation is common to most planetary environments, and could play a key role in the chemistry of molecules relevant to abiogenesis (prebiotic chemistry). In this work, we explore the impact of UV light on prebiotic chemistry that might occur in liquid water on the surface of a planet with an atmosphere. We consider effects including atmospheric absorption, attenuation by water, and stellar variability to constrain the UV input as a function of wavelength. We conclude that the UV environment would be characterized by broadband input, and wavelengths below 204 nm and 168 nm would be shielded out by atmospheric CO2 and water, respectively. We compare this broadband prebiotic UV input to the narrowband UV sources (e.g. mercury lamps) often used in laboratory studies of prebiotic chemistry, and explore the implications for the conclusions drawn from these experiments. We consider as case studies the ribonucleotide synthesis pathway of Powner et al (2009) and the sugar synthesis pathway of Ritson et al (2012). Irradiation by narrowband UV light from a mercury lamp formed an integral component of these studies: we quantitatively explore the impact of more realistic UV input on the conclusions that can be drawn from these experiments. Finally, we explore the constraints solar UV input places on the buildup of prebiotically important feedstock gasses like CH4 and HCN. Our results demonstrate the importance of characterizing the wavelength dependence (action spectra) of prebiotic synthesis pathways to determine how pathways derived under laboratory irradiation conditions will function under planetary prebiotic conditions.   Keywords: Laboratory Investigations; Origin of Life; Planetary Environments; UV Radiation; RNA World         _ Less","","arXiv","4","0","origin_of_life"
"Sustainability of Transient Kinetic Regimes and Origins of Death","Abstract:                _recognized that a distinguishing feature of life is its peculiar capability to avoid equilibration. The origin of this capability and its evolution along the timeline of abiogenesis is not yet understood. We propose to study an analog of this phenomenon that could emerge in non-biological systems. To this end, we introduce the concept of sustainability of tr_         _ More           It is generally recognized that a distinguishing feature of life is its peculiar capability to avoid equilibration. The origin of this capability and its evolution along the timeline of abiogenesis is not yet understood. We propose to study an analog of this phenomenon that could emerge in non-biological systems. To this end, we introduce the concept of sustainability of transient kinetic regimes. This concept is illustrated via investigation of cooperative effects in an extended system of compartmentalized chemical oscillators under batch and semi-batch conditions. The computational study of a model system shows robust enhancement of lifetimes of the decaying oscillations which translates into the evolution of the survival function of the transient non-equilibrium regime. This model does not rely on any form of replication. Rather, it explores the role of a structured effective environment as a contributor to the system-bath interactions that define non-equilibrium regimes. We implicate the noise produced by the effective environment of a compartmentalized oscillator as the cause of the lifetime extension.         _ Less","","arXiv","1","1","multiple"
"The Lipid-RNA World","Abstract:                The simplest possible beginning of abiogenesis has been a riddle from the last century, which is most successfully solved by the Lipid World hypothesis. However, origin of the next stages of evolution starting form lipids is still in dark. We propose a 'Lipid-RNA World Scenario' based on the assumption that modern stable lipid-RNA interactions are mo_         _ More           The simplest possible beginning of abiogenesis has been a riddle from the last century, which is most successfully solved by the Lipid World hypothesis. However, origin of the next stages of evolution starting form lipids is still in dark. We propose a 'Lipid-RNA World Scenario' based on the assumption that modern stable lipid-RNA interactions are molecular fossils of an ancient stage of evolution when RNA World originated from Lipid World. In accordance to the faint young sun conditions, we present an 'ice-covered hydrothermal vent' model of Hadean Ocean. Our hypothetical model suggests that faint young sun condition probably provided susceptible physical conditions for an evolutionary route from Lipid-World to Protein-RNA World, through an intermediate Lipid-RNA World. Ancient ribozymes were 'protected' by lipids assuring their survival in prebiotic ocean. The origin of natural selection ensures transition of Lipid-RNA World to Protein-RNA World after the origin of ribosome. Assuming the modern peptidyltransferase as the proto-ribosome structure, we have presented a hypothetical translation mechanism: proto-ribosome randomly polymerized amino acids being attached to the inner layer of a lipid-vesicle, using only physical energies available from our Hadean Ocean model. In accordance to the strategy of chemical evolution, we also have described the possible evolutionary behavior of this proto-ribosome, which explains the contemporary three-dimensional structure of 50S subunit and supports the predictions regarding the ancient regions of it. It also explains the origin of membrane-free 'minimal ribosome' in the time of LUCA.         _ Less","","arXiv","6","2","origin_of_life"
"Three-stage Origin of Life as a Result of Directional Darwinian Evolution","Abstract:                _origin of life (TOL) on the Earth is developed and discussed. The role of the temperature factor in life origin is considered. It is supposed, that three stages of abiogenesis (DNA world, RNA world and the Protein world) consistently followed each other during Darwinian evolution. At the same time, the natural directional selection of the most stable macromo_         _ More           The original hypothesis about Three-stage origin of life (TOL) on the Earth is developed and discussed. The role of the temperature factor in life origin is considered. It is supposed, that three stages of abiogenesis (DNA world, RNA world and the Protein world) consistently followed each other during Darwinian evolution. At the same time, the natural directional selection of the most stable macromolecules and effective catalytic reactions took place. The direction of this selection is related to action of the principle of _Increasing Independence from the Environment_ (IIE) and is caused by temperature evolution of the atmosphere of the Earth. The direction of Anagenesis and inevitability of occurrence of genetic mechanisms is discussed.         _ Less","","arXiv","3","1","origin_of_life"
"The Biological Big Bang: The First Oceans of Primordial Planets at 2-8 Million Years Explain Hoyle/Wickramasinghe Cometary Panspermia","Abstract:                _froze. HGD cosmology explains, very naturally, the Hoyle/Wickramasinghe concept of cometary panspermia by giving a vast, hot, nourishing, cosmological primordial soup for abiogenesis, and the means for transmitting the resulting life forms and their evolving chemical mechanisms widely throughout the universe. A primordial astrophysical basis is provided for_         _ More           Hydrogravitional-dynamics (HGD) cosmology of Gibson/Schild 1996 predicts that the primordial H-He^4 gas of big bang nucleosynthesis became proto-globular-star-cluster clumps of Earth-mass planets at 300 Kyr. The first stars formed from mergers of these 3000 K gas planets. Chemicals C, N, O, Fe etc. created by stars and supernovae then seeded many of the reducing hydrogen gas planets with oxides to give them hot water oceans with metallic iron-nickel cores. Water oceans at critical temperature 647 K then hosted the first organic chemistry and the first life, distributed to the 10^80 planets of the cosmological big bang by comets produced by the new (HGD) planet-merger star formation mechanism. The biological big bang scenario occurs between 2 Myr when liquid oceans condensed and 8 Myr when they froze. HGD cosmology explains, very naturally, the Hoyle/Wickramasinghe concept of cometary panspermia by giving a vast, hot, nourishing, cosmological primordial soup for abiogenesis, and the means for transmitting the resulting life forms and their evolving chemical mechanisms widely throughout the universe. A primordial astrophysical basis is provided for astrobiology by HGD cosmology. Concordance _CDMHC cosmology is rendered obsolete by the observation of complex life on Earth.         _ Less","","arXiv","2","0","origin_of_life"
